"pastweek_1","pastweek_2","pastweek_3","circumstances","source","fw_g","stock_freq_1","stock_hs_1","stock_hs_2","stock_hs_3","stock_hs_4","meal_freq._1","meal_hs_1","meal_hs_2","meal_hs_3","meal_hs_4","snack_freq_1","snack_hs_1","snack_hs_2","snack_hs_3","snack_hs_4","share_freq_1","share_hs_1","share_hs_2","share_hs_3","share_hs_4","age","gender","comments","id","condition","used_tape","hh_size","time","hs_stock","hs_meal","hs_snack","hs_share"
"5","4","1","Nee","2",386,70,3,3,5,5,88,5,6,5,5,45,3,4,3,1,75,5,6,6,6,"19","1","Ik heb de zak afval zonder afvalbakje gewogen",1,"intervention",1,4,0,4,5.25,2.75,5.75
"3","2","1","Ik was een dag minder thuis dan normaal waardoor ik maar 1 keer heb gekookt zelf","2",365,NA,5,5,5,5,82,6,6,6,5,78,6,5,6,5,75,6,6,6,6,"18","1","",2,"intervention",1,5,0,5,5.75,5.5,6
"5","7","7","Ja, mijn huisgenoot had teveel eieren gekocht voordat ze op vakantie ging en die heb ik niet opgekregen en dus weggegooid (3 stuks, gekookt) ","1",924,71,5,5,4,5,100,7,7,5,7,99,3,3,2,3,0,2,2,5,2,"24","1","",3,"control",NA,2,0,4.75,6.5,2.75,2.75
"5","3","2","","2",2,66,6,6,4,3,96,7,7,6,5,81,6,5,5,6,0,5,4,2,6,"19","1","",4,"intervention",0,5,0,4.75,6.25,5.5,4.25
"5","6","3","","1",968,NA,3,4,5,3,NA,7,6,5,7,NA,4,3,3,5,100,6,5,4,5,"22","2","",5,"intervention",0,10,0,3.75,6.25,3.75,5
"5","4","1","","1",165,77,6,6,6,6,100,5,5,4,3,100,7,3,3,1,0,1,1,1,1,"19","2","",6,"control",NA,6,0,6,4.25,3.5,1
"5","5","4","Nee","1",180,75,4,4,5,4,100,7,6,6,5,100,7,6,6,4,88,6,5,6,5,"25","1","",7,"control",NA,3,0,4.25,6,5.75,5.5
"3","3","3","2 daagse steden trip en 2 dagen thuis thuis, waardoor ik niet thuis was","1",0,84,6,6,6,6,0,6,6,6,6,0,6,6,6,6,0,2,3,2,2,"20","1","",8,"control",NA,6,0,6,6,6,2.25
"7","7","5","Nee","1",184,62,6,6,5,7,100,7,3,4,4,60,1,1,2,3,68,2,5,4,5,"19","1","",9,"intervention",1,9,0,6,4.5,1.75,4
"6","5","3","","2",180,74,6,6,6,6,100,6,5,6,5,79,6,3,3,5,22,2,2,2,2,"18","1","",10,"control",NA,5,0,6,5.5,4.25,2
"6","2","5","we wilden de paprika van een vriend van mij gebruiken tijdens het koken maar die was beschimmeld dus er zat een hele paprika in die niet van mij was :_)","1",340,100,7,7,7,4,99,7,6,6,5,71,5,4,5,3,100,7,6,7,5,"18","4","ik zou het woord 'geslacht' bij die ene vraag in 'gender' veranderen ",11,"control",NA,24,0,6.25,6,4.25,6.25
"5","2","5","","2",16,100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,0,1,1,1,1,"22","1","ik heb de afvalbak niet meegewogen, enkel de vuilniszak met inhoud. ",12,"control",NA,5,0,7,7,7,1
"7","7","4","Nee","2",334,29,3,3,3,2,78,5,5,6,6,76,5,5,5,5,NA,6,5,6,4,"21","1","",13,"control",NA,5,0,2.75,5.5,5,5.25
"5","3","3","tomaat en stuk komkommer van week ervoor vergeten en niet meer goed","2",210,79,6,6,5,4,64,6,5,6,3,90,6,3,5,2,0,3,2,3,4,"20","3","",14,"control",NA,11,0,5.25,5,4,3
"6","6","5","Ik had één persoon te logeren, dus ik heb vaak eten gemaakt voor 2 personen.","2",21,84,6,6,3,5,84,6,4,3,3,92,6,5,6,5,13,1,2,3,1,"20","1","Leuk onderzoek en maakt je bewust van je gewoontes!",15,"control",NA,8,0,5,4,5.5,1.75
"4","4","4","Nee","1",120,55,3,2,3,4,92,5,5,3,3,62,5,5,3,5,78,6,6,6,6,"27","1","Nee hoor:)",16,"control",NA,3,0,3,4,4.5,6
"5","3","3","Ik heb mijn koelkast uitgeruimd waardoor ik een aantal beschimmelde dingen weg moest gooien","2",1801,66,3,6,4,4,75,5,4,1,4,85,6,4,4,4,100,6,5,4,4,"19","1","",17,"control",NA,3,0,4.25,3.5,4.5,4.75
"5","2","1","","2",236,12,2,2,2,2,100,5,3,2,1,75,5,4,4,5,48,2,2,2,2,"22","1","",18,"intervention",NA,6,0,2,2.75,4.5,2
"7","6","6","","2",180,100,5,6,6,4,88,6,6,4,4,100,6,6,6,5,0,1,1,1,1,"19","1","",19,"intervention",1,4,0,5.25,5,5.75,1
"7","7","6","","2",291,100,7,7,7,6,100,6,4,3,4,86,6,5,6,4,79,4,3,5,3,"22","2","",20,"control",NA,12,0,6.75,4.25,5.25,3.75
"2","1","1","Stedentripje waardoor ik niet de hele week thuis was, en ik had iets over de datum in de koelkast staan wat weg moest","1",136,100,7,7,6,7,92,6,6,5,4,81,6,5,6,4,96,4,4,5,4,"19","1","",21,"control",NA,3,0,6.75,5.25,5.25,4.25
"5","1","1","","2",18,77,5,4,5,4,100,7,7,7,7,100,7,6,6,5,100,6,6,6,6,"20","1","",22,"intervention",1,3,0,4.5,7,6,6
"5","5","5","Nee","1",97,91,6,6,6,6,90,6,6,6,6,82,6,6,6,6,100,6,5,5,6,"19","1","",23,"intervention",0,5,0,6,6,6,5.5
"6","4","2","","2",126,48,4,4,4,4,88,6,6,6,6,55,5,5,6,4,33,2,3,3,3,"20","1","",24,"control",NA,8,0,4,6,5,2.75
"5","4","3","Nvt","2",179,78,5,2,2,3,68,2,2,5,2,88,6,2,6,6,79,7,5,6,2,"21","2","",25,"intervention",1,3,0,3,2.75,5,5
"7","4","3","","2",824,76,5,5,6,4,82,6,5,6,5,26,2,6,4,5,85,6,2,5,2,"24","2","",26,"control",NA,6,0,5,5.5,4.25,3.75
"6","2","2","","2",4,81,7,6,6,3,100,6,5,6,5,76,6,6,5,4,0,2,1,1,1,"24","2","",27,"intervention",0,3,0,5.5,5.5,5.25,1.25
"5","5","5","Nee","1",295,0,2,2,2,2,100,7,7,7,7,0,2,2,2,2,NA,4,3,5,1,"20","1","",28,"intervention",0,12,0,2,7,2,3.25
"7","4","4","","2",80,69,6,6,6,6,100,7,7,7,6,100,6,5,7,6,67,5,3,4,5,"21","2","",29,"control",NA,3,0,6,6.75,6,4.25
"5","4","4","","2",89,27,6,7,7,4,69,6,4,3,3,100,5,5,6,5,0,2,2,2,2,"19","1","",30,"control",NA,8,0,6,4,5.25,2
"5","4","4","Nee","2",22,81,6,5,5,5,100,6,5,5,5,80,6,5,5,5,0,4,4,4,4,"19","1","",31,"control",NA,5,0,5.25,5.25,5.25,4
"7","3","3","","2",151,82,6,6,6,6,100,6,6,6,6,83,7,7,7,7,0,4,4,4,4,"22","1","",32,"intervention",0,3,0,6,6,7,4
"5","5","4","Nee","2",380,100,7,7,7,7,100,7,7,7,7,67,7,7,7,7,0,1,1,1,1,"19","2","",33,"control",NA,3,0,7,7,7,1
"4","4","1","Veel practica tot laat, dus niet veel tijd","2",59,18,5,5,5,4,84,6,4,6,4,18,4,5,5,6,63,6,6,6,6,"18","1","",34,"intervention",0,3,0,4.75,5,5,6
"6","6","5","Nee","2",498,100,6,7,7,5,100,7,3,3,3,68,6,5,5,5,95,6,4,6,2,"21","1","",35,"control",NA,25,0,6.25,4,5.25,4.5
"7","5","3","Nee","2",74,100,6,6,6,5,100,6,5,4,5,90,6,6,5,6,100,4,4,4,5,"20","1","",36,"control",NA,15,0,5.75,5,5.75,4.25
"7","4","3","Normaal ga ik elk weekend naar mijn ouders, dus eet ik niet thuis en gooi ik ook geen eten weg. Dit weekend bleef ik daarentegen thuis en heb ik gekookt en koekjes gebakken, waardoor ik wat eten heb moeten weggooien.","2",91,100,7,7,7,7,100,7,7,7,7,62,6,6,4,5,4,2,2,2,2,"19","1","",37,"intervention",0,6,0,7,7,5.25,2
"5","4","4","Nee, het was een standaard week","2",13,36,3,5,3,4,87,6,6,5,5,100,6,6,6,6,87,5,6,3,4,"19","1","",38,"intervention",0,2,0,3.75,5.5,6,4.5
"7","3","6","","2",4,66,5,6,7,6,100,7,6,5,6,100,7,7,7,7,100,5,5,4,4,"20","1","",39,"control",NA,5,0,6,6,7,4.5
"7","4","4","Nee","2",1271,81,6,6,6,4,100,7,5,5,7,100,5,5,3,4,100,7,6,3,5,"23","1","",40,"intervention",1,2,0,5.5,6,4.25,5.25
"7","5","1","de voorraad kast is opgeruimd ","2",348,43,3,4,3,3,92,7,5,6,7,6,3,4,4,5,100,4,5,6,6,"18","1","",41,"intervention",1,6,0,3.25,6.25,4,5.25
"2","1","1","","2",229,62,6,5,6,3,79,6,4,5,6,94,5,6,6,4,0,2,1,2,1,"20","2","Ik ben deze week een aantal dagen thuisthuis geweest. Ik heb hier het onderzoek zoveel mogelijk proberen voort te zetten, dus bijvoorbeeld fruit heb ik gewoon meegenomen. Ik heb mijn ouders als mijn huisgenoten gebruikt (voor zover mogelijk), maar ik ben dus een aantal dagen niet op mijn kamer geweest. Ik heb hier alleen niks weg hoeven gooien, dus het heeft in die zin geen invloed gehad op de resultaten.",42,"control",NA,3,0,5,5.25,5.25,1.5
"5","4","5","Ik heb meer buiten gegeten dan normaal.","2",82,95,5,6,7,6,100,7,6,7,6,74,6,6,6,6,75,5,4,4,4,"20","1","",43,"intervention",0,8,0,6,6.5,6,4.25
"7","7","1","Nee","2",36,11,1,1,1,5,100,6,3,4,5,31,5,5,5,5,0,1,1,1,1,"21","2","",44,"intervention",0,2,0,2,4.5,5,1
"5","5","1","Nee","1",136,NA,6,6,6,7,NA,5,5,5,4,85,6,6,6,5,100,6,4,5,6,"19","1","",45,"intervention",1,7,0,6.25,4.75,5.75,5.25
"5","3","1","Ja ik kookte samen met een vriendin en zij had dus ook invloed op hoeveel er werd weggegooid","1",195,0,2,2,2,2,3,2,2,1,1,2,1,1,1,1,0,2,1,1,1,"19","1","",46,"intervention",NA,3,0,2,1.5,1,1.25
"6","2","2","opruimen koelkast","1",756,81,3,5,3,3,78,6,5,6,2,58,6,4,6,2,6,1,1,1,1,"18","3","",47,"intervention",NA,10,0,3.5,4.75,4.5,1
"5","2","5","Ik had eten in de gezamenlijke koelkast gezet, ik wilde het later gaan opeten maar de koelkast stond en het eten ook dus ik heb het uiteindelijk weggegooid.","1",615,67,5,5,4,6,100,6,4,3,3,77,5,4,3,4,100,5,4,4,3,"19","1","Nee",48,"intervention",0,26,0,5,4,4,4
"7","6","5","Nee","2",366,100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,0,1,1,1,1,"20","1","",49,"control",NA,13,0,7,7,7,1
"7","5","5","","2",282,17,4,6,6,3,66,5,5,4,5,70,3,3,4,3,0,3,4,5,2,"19","2","",50,"intervention",0,19,0,4.75,4.75,3.25,3.5
"6","4","2","","2",96,66,6,5,6,5,100,7,7,7,7,100,7,6,7,7,100,7,7,7,7,"19","1","",51,"control",NA,5,0,5.5,7,6.75,7
"6","3","2","","2",364,73,6,6,6,5,85,7,6,7,6,65,5,5,5,4,100,7,7,7,7,"23","1","",52,"intervention",0,5,0,5.75,6.5,4.75,7
