"pastweek_1","pastweek_2","pastweek_3","stock_freq_1","stock_hs_1","stock_hs_2","stock_hs_3","stock_hs_4","meal_freq._1","meal_hs_1","meal_hs_2","meal_hs_3","meal_hs_4","snack_freq_1","snack_hs_1","snack_hs_2","snack_hs_3","snack_hs_4","share_freq_1","share_hs_1","share_hs_2","share_hs_3","share_hs_4","tape_use","tape_frequency","tape_help","tape_opinion","tape_comments","comments","condition","id","hh_size","time","hs_stock","hs_meal","hs_snack","hs_share"
"4","4","4",85,6,6,5,6,100,3,3,3,3,100,6,6,5,6,58,2,2,2,2,"","","","","","","control",29,3,3,5.75,3,5.75,2
"4","3","3",76,6,6,6,4,84,6,6,6,6,56,4,4,4,5,76,5,5,5,4,"","","","","","","control",7,3,3,5.5,6,4.25,4.75
"0","0","7",100,6,5,6,5,85,6,5,5,5,49,7,6,6,5,72,3,3,3,2,"","","","","","","control",6,6,3,5.5,5.25,6,2.75
"7","6","6",100,7,7,6,7,78,5,3,3,2,30,2,2,2,2,61,5,1,2,2,"Ik heb de tape niet gebruikt, omdat ik heel weinig houdbaar eten heb en dus goed overzicht heb over wat ik eerst moet opeten. Deze week woonde ik bij mijn vriend en die gooit sneller dingen weg, maar hier heb ik de tape helaas niet","0","De tape heeft mij niet geholpen","Ik vind de tape niet nuttig, omdat ik zelf al snel zie wat houdbaar is en niet","","","intervention",28,12,3,6.75,3.25,2,2.5
"4","4","2",82,6,7,7,7,83,6,6,6,6,75,5,5,5,5,83,6,6,6,6,"Ik heb de tape gebruikt op producten die bijna over de datum waren of op dingen die ik dubbel had op wat als eerst op moet","Ik heb het niet heel vaak gebruikt maar wel een aantal keer. Ik ben het wel gaan gebruiken toen ik hem gekregen had","De tape heeft een beetje geholpen alleen deed ik automatisch al checken op dingen die eerst op moeten. Mijn huisgenoten weten van de tape af maar hebben het niet gebruikt","Ik denk dat het goed is voor veel mensen omdat ze er dan aan herrinert worden welk product eerst op moet en ik denk dat het helpt om kinderen te leren ernaar te kijken","","","intervention",45,7,3,6.75,6,5,6
"7","7","7",100,6,7,7,7,100,6,6,7,7,89,5,4,5,6,24,5,3,4,3,"Ik gebruikte het een periode om een zij schap van de koelkast  mee af te tapen voor producten die open waren. Daarnaast gebruik ik het nog steeds als een product echt bijna aan de houdbaarheidsdatum zit of er uitziet alsof je het bijna moet weggooien.  Ik gebruik de tape niet op groente etc, omdat ik die automatisch goed in de gaten hou. Dus enkel op producten die al open zijn, zoals blikjes, pakken enof vis/beleg producten. Ik hoef het niet veel te gebruiken want ben al efficiënter met de producten checken en houdbaarheid bijhouden.","Iets minder sinds dat ik hem heb gekregen, omdat het vaker niet nodig is en omdat ik nu ook al beter door heb welke producten eerst op moeten en heb niet noodzakelijk de tape meer voor nodig om me te eraan te herinneren.","Ja. Zeker in het begin om bewuster mijn producten te checken op houdbaarheid. De producten die tape hebben, vallen automatisch meer op en probeer ik dan het eerst te verwerken in gerechten.","Ja zeker bij mensen die nog niet bewust zijn van de houdbaarheid van hun producten. Ook al lukt het niet altijd alsnog het voor houdbaarheid te nuttigen, je bent er meer bewust van en let beter op voordat je nieuwe producten gaat aanschaffen. Tape is makkelijk te gebruiken.  Enkel plakt hij niet zo goed als een product een beetje vochtig is door de lucht in de koelkast.","Nee naast dat hij soms minder goed blijft plakken.","Nee. Ik vone het een nuttig onderzoek","intervention",9,9,3,6.75,6.5,5,3.75
"5","5","3",26,3,3,4,3,64,5,6,5,6,37,3,3,4,4,66,6,5,6,6,"","","","","","","control",13,5,3,3.25,5.5,3.5,5.75
"1","1","1",91,6,6,6,6,83,7,7,7,7,89,6,6,7,6,61,5,5,6,5,"","","","","","","control",39,5,3,6,7,6.25,5.25
"2","1","1",74,6,6,5,5,98,6,5,5,4,98,6,6,5,5,0,2,1,3,2,"","","","","","Interessant onderzoek, benieuwd naar de resultaten!","control",15,8,3,5.5,5,5.5,2
"1","0","0",83,5,6,5,2,100,7,5,3,7,100,4,6,4,6,58,2,2,2,3,"Ik heb de tape nietgebruikt, omdat ik altijd al heel goed op let en weet wat er in mijn koelkast ligt en wat op moet, daar heb ik die tape niet volr nodig.","Niet gebruikt. ","Niet gebruijt","Voor grote gezinnen lijkt het me een nuttig middel, om zo het overzicht te bewaren van wat eerst op moet, maar voor eenpersoonshuishoudens denk ik dat de meeste wel weten wat ze hebben luggen en dit weinig toevoegt.","","","intervention",4,5,3,4.5,5.5,5,2.25
