"id","condition","pre","post","post2"
1,"intervention",386,359,NA
2,"intervention",365,368,18
3,"control",924,102,259
4,"intervention",2,0,0
5,"intervention",968,438,550
6,"control",165,60,81
7,"control",180,619,177
8,"control",0,457,0
9,"intervention",184,214,147
10,"control",180,243,268
11,"control",340,508,275
12,"control",16,37,50
13,"control",334,243,2
14,"control",210,363,25
15,"control",21,74,665
16,"control",120,94,9
17,"control",1801,2786,2418
18,"intervention",236,NA,NA
19,"intervention",180,83,33
20,"control",291,828,102
21,"control",136,166,0
22,"intervention",18,141,17
23,"intervention",97,29,17
24,"control",126,0,29
25,"intervention",179,430,317
26,"control",824,967,832
27,"intervention",4,9,4
28,"intervention",295,299,253
29,"control",80,408,365
30,"control",89,81,3
31,"control",22,372,3
32,"intervention",151,45,18
33,"control",380,516,729
34,"intervention",59,320,19
35,"control",498,884,243
36,"control",74,318,559
37,"intervention",91,90,79
38,"intervention",13,119,174
39,"control",4,214,57
40,"intervention",1271,285,50
41,"intervention",348,53,68
42,"control",229,371,90
43,"intervention",82,4,105
44,"intervention",36,104,45
45,"intervention",136,1,17
46,"intervention",195,NA,NA
47,"intervention",756,NA,NA
48,"intervention",615,211,2
49,"control",366,371,97
50,"intervention",282,97,77
51,"control",96,125,NA
52,"intervention",364,34,79
53,"control",1590,355,NA
54,"control",116,109,366
55,"control",65,351,341
56,"intervention",466,117,181
57,"control",155,46,372
58,"intervention",197,20,0
59,"intervention",4,248,80
60,"intervention",96,216,NA
61,"control",375,NA,1076
62,"intervention",1,297,NA
63,"intervention",111,326,NA
